gene,mouse,expression
Asl,14,1170
Asl,9,361
Asl,10,400
Asl,15,586
Asl,18,626
Asl,6,988
Asl,5,836
Asl,11,535
Asl,22,586
Asl,13,597
Asl,23,938
Asl,24,1035
Asl,8,494
Asl,7,481
Asl,1,666
Asl,16,937
Asl,21,803
Asl,4,541
Asl,2,473
Asl,20,748
Asl,12,576
Asl,19,1192
Apod,14,36194
Apod,9,10347
Apod,10,9173
Apod,15,10620
Apod,18,13021
Apod,6,29594
Apod,5,24959
Apod,11,13668
Apod,22,13230
Apod,13,15868
Apod,23,27769
Apod,24,34301
Apod,8,11258
Apod,7,11812
Apod,1,15816
Apod,16,29242
Apod,21,20415
Apod,4,13682
Apod,2,11088
Apod,20,15916
Apod,12,11166
Apod,19,38148
Cyp2d22,14,4060
Cyp2d22,9,1616
Cyp2d22,10,1603
Cyp2d22,15,1901
Cyp2d22,18,2171
Cyp2d22,6,3349
Cyp2d22,5,3122
Cyp2d22,11,2008
Cyp2d22,22,2254
Cyp2d22,13,2277
Cyp2d22,23,2985
Cyp2d22,24,3452
Cyp2d22,8,1883
Cyp2d22,7,2014
Cyp2d22,1,2417
Cyp2d22,16,3678
Cyp2d22,21,2920
Cyp2d22,4,2216
Cyp2d22,2,1821
Cyp2d22,20,2842
Cyp2d22,12,2011
Cyp2d22,19,4019
Klk6,14,287
Klk6,9,629
Klk6,10,641
Klk6,15,578
Klk6,18,448
Klk6,6,195
Klk6,5,186
Klk6,11,1101
Klk6,22,537
Klk6,13,567
Klk6,23,327
Klk6,24,233
Klk6,8,742
Klk6,7,881
Klk6,1,828
Klk6,16,250
Klk6,21,798
Klk6,4,710
Klk6,2,894
Klk6,20,501
Klk6,12,598
Klk6,19,259
Fcrls,14,85
Fcrls,9,233
Fcrls,10,244
Fcrls,15,237
Fcrls,18,180
Fcrls,6,38
Fcrls,5,68
Fcrls,11,375
Fcrls,22,199
Fcrls,13,177
Fcrls,23,89
Fcrls,24,67
Fcrls,8,300
Fcrls,7,233
Fcrls,1,231
Fcrls,16,81
Fcrls,21,303
Fcrls,4,285
Fcrls,2,248
Fcrls,20,179
Fcrls,12,184
Fcrls,19,68
Slc2a4,14,782
Slc2a4,9,231
Slc2a4,10,248
Slc2a4,15,265
Slc2a4,18,313
Slc2a4,6,786
Slc2a4,5,528
Slc2a4,11,249
Slc2a4,22,266
Slc2a4,13,357
Slc2a4,23,654
Slc2a4,24,693
Slc2a4,8,271
Slc2a4,7,304
Slc2a4,1,349
Slc2a4,16,715
Slc2a4,21,513
Slc2a4,4,320
Slc2a4,2,248
Slc2a4,20,350
Slc2a4,12,317
Slc2a4,19,796
Exd2,14,1619
Exd2,9,2288
Exd2,10,2235
Exd2,15,2513
Exd2,18,2366
Exd2,6,1359
Exd2,5,1474
Exd2,11,3126
Exd2,22,2379
Exd2,13,2173
Exd2,23,1531
Exd2,24,1620
Exd2,8,2723
Exd2,7,2486
Exd2,1,2812
Exd2,16,1491
Exd2,21,2832
Exd2,4,2711
Exd2,2,2488
Exd2,20,2372
Exd2,12,2722
Exd2,19,1694
Gjc2,14,288
Gjc2,9,595
Gjc2,10,568
Gjc2,15,551
Gjc2,18,310
Gjc2,6,146
Gjc2,5,186
Gjc2,11,791
Gjc2,22,454
Gjc2,13,370
Gjc2,23,240
Gjc2,24,209
Gjc2,8,745
Gjc2,7,670
Gjc2,1,603
Gjc2,16,237
Gjc2,21,565
Gjc2,4,534
Gjc2,2,564
Gjc2,20,499
Gjc2,12,488
Gjc2,19,262
Plp1,14,43217
Plp1,9,101241
Plp1,10,96534
Plp1,15,58354
Plp1,18,53126
Plp1,6,27173
Plp1,5,28728
Plp1,11,98658
Plp1,22,61356
Plp1,13,61647
Plp1,23,38019
Plp1,24,38260
Plp1,8,102790
Plp1,7,82722
Plp1,1,91642
Plp1,16,37654
Plp1,21,74044
Plp1,4,71237
Plp1,2,84540
Plp1,20,71380
Plp1,12,66033
Plp1,19,33076
Gnb4,14,1071
Gnb4,9,1791
Gnb4,10,1867
Gnb4,15,1430
Gnb4,18,1355
Gnb4,6,798
Gnb4,5,806
Gnb4,11,2437
Gnb4,22,1394
Gnb4,13,1554
Gnb4,23,960
Gnb4,24,1075
Gnb4,8,2085
Gnb4,7,1759
Gnb4,1,1984
Gnb4,16,1010
Gnb4,21,1894
Gnb4,4,1711
Gnb4,2,1752
Gnb4,20,1410
Gnb4,12,1646
Gnb4,19,1065
Tnc,14,219
Tnc,9,666
Tnc,10,713
Tnc,15,478
Tnc,18,354
Tnc,6,132
Tnc,5,218
Tnc,11,1017
Tnc,22,479
Tnc,13,417
Tnc,23,212
Tnc,24,187
Tnc,8,1031
Tnc,7,992
Tnc,1,824
Tnc,16,268
Tnc,21,468
Tnc,4,719
Tnc,2,718
Tnc,20,417
Tnc,12,678
Tnc,19,266
Trf,14,9719
Trf,9,15622
Trf,10,14314
Trf,15,14681
Trf,18,11961
Trf,6,6429
Trf,5,8090
Trf,11,19877
Trf,22,13512
Trf,13,14301
Trf,23,9827
Trf,24,11010
Trf,8,17963
Trf,7,20628
Trf,1,18206
Trf,16,9036
Trf,21,18911
Trf,4,19169
Trf,2,17677
Trf,20,14602
Trf,12,16336
Trf,19,9830
Tubb2b,14,2245
Tubb2b,9,3753
Tubb2b,10,3631
Tubb2b,15,2788
Tubb2b,18,2731
Tubb2b,6,1189
Tubb2b,5,1775
Tubb2b,11,4239
Tubb2b,22,2886
Tubb2b,13,2984
Tubb2b,23,1852
Tubb2b,24,1567
Tubb2b,8,4459
Tubb2b,7,4160
Tubb2b,1,3776
Tubb2b,16,2217
Tubb2b,21,3981
Tubb2b,4,4198
Tubb2b,2,3936
Tubb2b,20,2844
Tubb2b,12,3900
Tubb2b,19,2082
Fads1,14,6498
Fads1,9,7157
Fads1,10,7153
Fads1,15,7168
Fads1,18,6119
Fads1,6,4727
Fads1,5,4990
Fads1,11,9622
Fads1,22,6488
Fads1,13,6930
Fads1,23,5551
Fads1,24,5977
Fads1,8,8261
Fads1,7,8685
Fads1,1,8280
Fads1,16,6109
Fads1,21,8994
Fads1,4,8702
Fads1,2,8430
Fads1,20,7807
Fads1,12,7683
Fads1,19,6176
Lxn,14,1744
Lxn,9,2442
Lxn,10,2402
Lxn,15,2089
Lxn,18,1937
Lxn,6,979
Lxn,5,1130
Lxn,11,3068
Lxn,22,1927
Lxn,13,2238
Lxn,23,1353
Lxn,24,1350
Lxn,8,2769
Lxn,7,2605
Lxn,1,2487
Lxn,16,1543
Lxn,21,2965
Lxn,4,2878
Lxn,2,2536
Lxn,20,1966
Lxn,12,2550
Lxn,19,1671
Prr18,14,1284
Prr18,9,2102
Prr18,10,2000
Prr18,15,1701
Prr18,18,1380
Prr18,6,717
Prr18,5,810
Prr18,11,2995
Prr18,22,1580
Prr18,13,1506
Prr18,23,1249
Prr18,24,1072
Prr18,8,2471
Prr18,7,2410
Prr18,1,2095
Prr18,16,1066
Prr18,21,2117
Prr18,4,1982
Prr18,2,2185
Prr18,20,1922
Prr18,12,1767
Prr18,19,1036
Cmtm5,14,1381
Cmtm5,9,1938
Cmtm5,10,1879
Cmtm5,15,1733
Cmtm5,18,1644
Cmtm5,6,771
Cmtm5,5,943
Cmtm5,11,2603
Cmtm5,22,1584
Cmtm5,13,1713
Cmtm5,23,1223
Cmtm5,24,1217
Cmtm5,8,2314
Cmtm5,7,2217
Cmtm5,1,1993
Cmtm5,16,1119
Cmtm5,21,2523
