gene,0,4,8
AI504432,1033.857142857143,1104.5,1014
AW046200,155.28571428571428,152.375,81
AW551984,238,302.25,342.2857142857143
Aamp,4602.571428571428,4870,4762.571428571428
Abca12,5.285714285714286,4.25,4.142857142857143
Abcc8,2576.4285714285716,2608.625,2291.5714285714284
Abhd14a,591.4285714285714,546.75,432.42857142857144
Abi2,4880.571428571428,4902.875,4945.285714285715
Abi3bp,1174.5714285714287,1060.625,762.2857142857143
Abl2,2170.1428571428573,2077.875,2131.285714285714
Acadl,2059.4285714285716,2099,1994.857142857143
Acap3,3745,3445.5,3430.714285714286
Acbd4,1218.7142857142858,1410.125,1667.7142857142858
Acbd6,856,918.375,908.7142857142857
Acer2,338.85714285714283,501,718.7142857142857
Ackr3,304.42857142857144,269.375,289.57142857142856
Acmsd,1.4285714285714286,2,2.4285714285714284
Acot3,12.142857142857142,15.125,17.285714285714285
Acr,34,54.25,160.28571428571428
Acrbp,420.57142857142856,397,218.57142857142858
Acsl5,531,577.125,609.5714285714286
Acta2,284.42857142857144,246.5,243
Actg1,7972.857142857143,7316.375,6305.571428571428
Actr3,6401.571428571428,6547.75,6299.714285714285
Adam17,1259.4285714285713,1066.25,859.2857142857143
Adam1a,695.2857142857143,631.125,388.2857142857143
Adam23,7485.571428571428,7986.375,7690.142857142857
Adamts19,10.857142857142858,11,12.285714285714286
Adat1,294.42857142857144,272.75,189.14285714285714
Agpat1,2724.1428571428573,2668.875,1988.2857142857142
Agpat5,4003.4285714285716,3711.5,2886.285714285714
Agt,3260.5714285714284,4313,6222.571428571428
Aim2,139.28571428571428,157.875,248.85714285714286
Aipl1,12.428571428571429,16.5,94.85714285714286
Ak4,5514.857142857143,4919.375,3576.1428571428573
Ak6,361.2857142857143,341,226.71428571428572
Akap5,262.85714285714283,236.875,234.57142857142858
Aldh18a1,979,925.375,692.5714285714286
Aldh3a2,2965,3108.75,2832.285714285714
Aldh6a1,3650.4285714285716,4016.25,5351.285714285715
Aldh9a1,1655.2857142857142,1667.125,1631.4285714285713
Alg14,836,741.25,611.4285714285714
Alk,44.57142857142857,53.125,52.42857142857143
Alkbh3,444.42857142857144,495.375,660.1428571428571
Alox8,119.71428571428571,135.5,126.28571428571429
Aloxe3,354,422.25,649.5714285714286
Amer3,2171.4285714285716,2228.25,2175.714285714286
Amigo2,811,920,1117.142857142857
Amn,18,20.25,24.428571428571427
Amt,1167.7142857142858,1074.375,730.4285714285714
Amy1,786.4285714285714,928.5,1302.7142857142858
Amz2,1801.2857142857142,1748.25,1445.857142857143
Angptl1,16,11.875,20.142857142857142
Ankmy1,19,21.25,24
Ankrd29,1218.2857142857142,1225,923.4285714285714
Ankrd39,391.14285714285717,454.5,615.7142857142857
Ankrd44,759.2857142857143,739.625,710.4285714285714
Ankrd6,492.2857142857143,533,570
Anks1,2579.1428571428573,2288.375,1933
Ankzf1,1109.2857142857142,1162.5,1083.857142857143
Anxa3,425.7142857142857,451.5,611.8571428571429
Aox2,1.8571428571428572,1.75,3.7142857142857144
Aox4,4.571428571428571,4.875,6.285714285714286
Ap1m1,1984.5714285714287,2081.875,1901.4285714285713
Apoc1,61.857142857142854,69.125,165.57142857142858
Apod,11575.42857142857,14506.5,31458.14285714286
Aqp4,21928,18114,13762
Arap3,280.85714285714283,252.125,277.14285714285717
Arc,706,787.375,624
Arfgap2,3414.285714285714,3592.75,3894.8571428571427
Arfgef1,5973.571428571428,5945.25,5819.857142857143
Arhgap10,739.5714285714286,689.375,717.8571428571429
Arhgef37,758.4285714285714,715.875,855.5714285714286
Arid5b,2407,2147.375,1869.2857142857142
Armc9,743.2857142857143,728.125,744.4285714285714
Armcx5,545.7142857142857,659.375,1070.2857142857142
Arpc2,4190.285714285715,4227,4144.428571428572
Arpc5,2326.1428571428573,2225.5,2242.8571428571427
Arrdc2,766.1428571428571,746.75,1279.7142857142858
Ascl1,79.28571428571429,89.375,126.14285714285714
Ascl5,0.5714285714285714,1,1.1428571428571428
Asic3,41.57142857142857,48.75,87.42857142857143
Asic4,83.71428571428571,81.5,107.71428571428571
Asl,469.2857142857143,648.5,1013.7142857142857
Asnsd1,734.2857142857143,767.125,775.4285714285714
Ass1,400,473.5,666.1428571428571
Atat1,1245.7142857142858,1098.875,941.4285714285714
Atg10,281,305.25,288.14285714285717
Atg16l1,2058.5714285714284,2095.5,2214.285714285714
Atg16l2,1045.7142857142858,1039.5,798.5714285714286
Atg9b,42,65,70
Atic,997.1428571428571,1001,958.1428571428571
Atp1b1,57350.71428571428,60364.25,59229
