gene,mean_expression
AI504432,1053.2272727272727
AW046200,130.5909090909091
AW551984,294.54545454545456
Aamp,4750.727272727273
Abca12,4.545454545454546
Abcc8,2497.5
Abhd14a,524.5909090909091
Abi2,4909.272727272727
Abi3bp,1001.9545454545455
Abl2,2124.2272727272725
Acadl,2053.2727272727275
Acap3,3536.090909090909
Acbd4,1431.1818181818182
Acbd6,895.4545454545455
Acer2,518.6818181818181
Ackr3,286.95454545454544
Acmsd,1.9545454545454546
Acot3,14.863636363636363
Acr,81.54545454545455
Acrbp,347.72727272727275
Acsl5,572.7727272727273
Acta2,257.45454545454544
Actg1,7203.636363636364
Actr3,6422.318181818182
Adam17,1061.8636363636363
Adam1a,574.2727272727273
Adam23,7732.772727272727
Adamts19,11.363636363636363
Adat1,253.04545454545453
Agpat1,2469.909090909091
Agpat5,3541.818181818182
Agt,4585.727272727273
Aim2,180.9090909090909
Aipl1,40.13636363636363
Ak4,4681.454545454545
Ak6,311.09090909090907
Akap5,244.4090909090909
Aldh18a1,868.3636363636364
Aldh3a2,2975.0454545454545
Aldh6a1,4324.636363636364
Aldh9a1,1652
Alg14,730.0909090909091
Alk,50.18181818181818
Alkbh3,531.5909090909091
Alox8,127.54545454545455
Aloxe3,472.8636363636364
Amer3,2193.4545454545455
Amigo2,948.0454545454545
Amn,20.863636363636363
Amt,994.6363636363636
Amy1,1002.3636363636364
Amz2,1668.909090909091
Angptl1,15.818181818181818
Ankmy1,21.40909090909091
Ankrd29,1126.909090909091
Ankrd39,485.6363636363636
Ankrd44,736.5909090909091
Ankrd6,531.8181818181819
Anks1,2267.818181818182
Ankzf1,1120.5454545454545
Anxa3,494.3181818181818
Aox2,2.409090909090909
Aox4,5.2272727272727275
Ap1m1,1993.5
Apoc1,97.5
Apod,18967.590909090908
Aqp4,17942.81818181818
Arap3,269.22727272727275
Arc,709.5
Arfgap2,3632.090909090909
Arfgef1,5914.363636363636
Arhgap10,714.4090909090909
Arhgef37,773.8636363636364
Arid5b,2141.5
Armc9,738.1363636363636
Armcx5,753.9545454545455
Arpc2,4189.045454545455
Arpc5,2263.0454545454545
Arrdc2,922.5
Ascl1,97.86363636363636
Ascl5,0.9090909090909091
Asic3,58.77272727272727
Asic4,90.54545454545455
Asl,707.6818181818181
Asnsd1,759.3181818181819
Ass1,511.40909090909093
Atat1,1095.5
Atg10,292.09090909090907
Atg16l1,2121.5454545454545
Atg16l2,964.8181818181819
Atg9b,59.27272727272727
Atic,986.1363636363636
Atp1b1,59044.181818181816
Atp6v1h,4803.909090909091
Avil,56.13636363636363
B3galt2,930.2272727272727
B3gnt7,14.181818181818182
BC055324,115.4090909090909
BC055402,3.590909090909091
Bard1,17.227272727272727
Basp1,1190
Bbs1,1408.0454545454545
Bcas1,5748.227272727273
Bche,374.6363636363636
Bcl11a,557.5454545454545
Bcl2,805.2727272727273
Bcs1l,411.1363636363636
Begain,951.3181818181819
Bend6,9202.272727272728
Best1,33.09090909090909
Bfsp2,107.77272727272727
Bivm,1045.6818181818182
Bmp2,52.95454545454545
Boc,3842
Boll,6.590909090909091
Brinp2,1131.6818181818182
Brinp3,856.7272727272727
Brsk2,6858.318181818182
Bst1,20.136363636363637
Btf3l4,2105.5
Bves,13.136363636363637
Bzw1,8780.681818181818
C1qtnf2,41.68181818181818
C2cd2,846.3636363636364
C3,55.90909090909091
C4b,801.6818181818181
C4bp-ps1,11.272727272727273
C77080,1433
Cab39,8858.59090909091
Cacna1e,8316.681818181818
Cacna1s,38.22727272727273
Cacnb1,811.1818181818181
Calr,10957.227272727272
Camkk1,2848.818181818182
Camkk2,10821.863636363636
Camsap2,8231.90909090909
Capg,112.31818181818181
Capn10,1070.409090909091
Car14,1022.9545454545455
Car15,638.9090909090909
Car4,4861.363636363636
Cartpt,27.636363636363637
Casp1,86.04545454545455
Casp12,296.54545454545456
Casp8,88.18181818181819
Cat,2081.909090909091
Catip,83.27272727272727
Ccdc136,4258.545454545455
Ccdc149,1133.7727272727273
Ccdc160,51.77272727272727
Ccdc167,1224.8636363636363
Ccdc28a,453.40909090909093
Ccdc28b,1810.5454545454545
Ccdc81,60.40909090909091
Ccdc93,1390.5454545454545
Ccl27a,1799.8636363636363
Ccm2l,159.45454545454547
Ccnl2,8689.5
Ccnyl1,514.5
Cd180,39.22727272727273
Cd28,66
Cd55,255.04545454545453
Cd70,32.95454545454545
Cd99l2,3284.5
Cdc73,935.0909090909091
Cdh19,671.5909090909091
Cdh20,1010.2727272727273
Cdh4,687.8636363636364
Cdh7,1960.4545454545455
Cdk15,7.909090909090909
Cdk18,617.3181818181819
Cdyl,527.5454545454545
Celf3,1758.7727272727273
Cenpl,106
Cep131,965.4090909090909
Cep350,3664.318181818182
Cfap221,10
Cfap57,28.40909090909091
Cfc1,3.8181818181818183
Cfhr2,1.8181818181818181
Cflar,1294.1818181818182
Cfp,771.3636363636364
Chil3,57.5
Chpf,2213.1363636363635
Chrac1,423.8636363636364
Chrm3,118.86363636363636
Cirbp,3773.9545454545455
Ciz1,1561.3181818181818
Clasp1,3518.681818181818
Clic4,6703
Clip4,1518.909090909091
Clk1,8431.454545454546
Clpx,2021.6818181818182
Clvs2,333.6363636363636
Cmpk2,663.6818181818181
Cmtm5,1740.8636363636363
Cnga3,2.1818181818181817
Cngb1,20
Cnksr3,2920.7727272727275
Cnnm3,2506.5
Cnnm4,1149.2272727272727
Cnot11,1413.8636363636363
Cnp,14535
Cnpy4,509.59090909090907
Cntnap5a,576.7272727272727
Cntnap5b,1046.590909090909
Cog1,2001.409090909091
Col11a2,509.1818181818182
Col19a1,1189.090909090909
Col25a1,292.8181818181818
Col27a1,856.3636363636364
Col4a3,90.81818181818181
Col4a4,102.86363636363636
Col4a5,410.1818181818182
Col5a3,405.45454545454544
Col6a1,586.1363636363636
Col6a2,450.5
Col6a3,95.86363636363636
Colgalt2,136.63636363636363
Colq,145.13636363636363
Coq4,304.40909090909093
Cotl1,3627.818181818182
Cox5b,5553.181818181818
Cox7b2,30.5
Cp,1650.8181818181818
Cpa6,2.090909090909091
Cpsf4l,64.4090909090909
Crb1,14.636363636363637
Creg2,455.54545454545456
Crhr1,2832.818181818182
Crip3,31.636363636363637
Cryab,2886
Cryga,1.1818181818181819
Csf2ra,464.3181818181818
Csrnp3,1737.590909090909
Csrp1,9535.863636363636
Ctns,1152.1818181818182
Ctxn1,217.13636363636363
Ctxn2,134.13636363636363
Cul3,8247.727272727272
Cx3cl1,2549.5
Cxcr2,4.7272727272727275
Cyhr1,5867.272727272727
Cyp2d22,2573.590909090909
Cyp2j12,120.68181818181819
Cyp3a13,124.22727272727273
Cyp4f15,191.63636363636363
Cyp4v3,738.4090909090909
Cyp51,2117.409090909091
D11Wsu47e,220.13636363636363
D2hgdh,437.22727272727275
Dach2,90.04545454545455
Dact2,183.4090909090909
Dars2,697.4090909090909
Daw1,31.59090909090909
Dbpht2,81.63636363636364
Dcaf12,2550.2727272727275
Dcaf12l2,12.545454545454545
Dcaf8,7781.636363636364
Dcakd,1028.4545454545455
Dcdc2b,298.8181818181818
Dclk1,16336.181818181818
Dcst2,27
Ddah1,4163.272727272727
Ddx18,854.4090909090909
Ddx25,1487.8181818181818
Ddx39b,5511.545454545455
Ddx3x,22486.954545454544
Ddx3y,2059.5
Deaf1,2400.5454545454545
Dennd1b,1002.0454545454545
Des,69.22727272727273
Desi1,5560.590909090909
Dffb,421.09090909090907
Dgkb,1254.590909090909
Dgkd,10172.772727272728
Dgkk,72.13636363636364
Dhfr,344.72727272727275
Dhrs11,472.22727272727275
Dhx9,6694.409090909091
Dis3l2,882.1818181818181
Dleu2,384.27272727272725
Dnah1,94.04545454545455
Dnah7a,15.772727272727273
Dnah7b,734.5
Dnajb3,30.5
Dnase1l2,347.09090909090907
Dnd1,63.90909090909091
Dnm3,11048.40909090909
Dnm3os,7.636363636363637
Doc2a,109.63636363636364
Dok3,130.0909090909091
Dot1l,6632.818181818182
Dpf2,2903.2272727272725
Dpt,3.8181818181818183
Dpy19l1,2189.4545454545455
Drd1,18.09090909090909
Drd4,25.59090909090909
Dsc3,10.590909090909092
Dsel,354.3636363636364
Dtd2,272.27272727272725
Dtx4,1017.6818181818181
Dusp11,7796.318181818182
Dusp19,274.1363636363636
Dusp27,13.772727272727273
Dynll1,2368.2727272727275
Dynlt1a,474.95454545454544
Dyrk3,164.54545454545453
Dytn,2.409090909090909
Dzank1,8273.09090909091
E2f6,1787.5454545454545
E4f1,1203.9545454545455
Ebp,998.3181818181819
Ecel1,51.13636363636363
Echdc1,1349.909090909091
Edem3,3838.7727272727275
Edn3,271.72727272727275
Ednrb,5532.136363636364
Eef1b2,3799.7727272727275
Efhd1,1529.5
Egfl6,13.818181818181818
Egfl8,114.68181818181819
Eid2b,871.5909090909091
Eif2b3,592.1818181818181
Eif2s3x,2039.0454545454545
Eif2s3y,1390.6363636363637
Eif4b,9449.59090909091
Eif5b,5148.681818181818
Elfn1,98.86363636363636
Elfn2,1019.1818181818181
Elovl1,691.3181818181819
Elovl5,4233.227272727273
Emc8,3344.2727272727275
Emid1,364.40909090909093
Eml1,2585.2727272727275
Eml2,3604.3636363636365
Eml3,1312.1818181818182
Emp2,1184.090909090909
Emx2,7.681818181818182
En1,199.22727272727272
Enpp1,514
Enpp6,524.6818181818181
